Alloted Quota,Alloted Category,State,College,Course,Course Fee,2024 R1,2024 R2,2024 R3,2024 R4,2024 R5,2023 R1,2023 R2,2023 R3,2023 R4,2022 R1,2022 R2,2022 R3,2022 R4
All India Quota,Open,Karnataka,"Mandya Institute of Medical Sciences, Mandya",MD RADIODIAGNOSIS,124150,443 (1),593 (1),593 (1),-,-,839 (2),896 (2),896 (2),-,-,502 (1),719 (1),-
All India Quota,OBC,Kerala,"Government TD Medical College, Alappuzha",MD RADIODIAGNOSIS,69470,448 (1),772 (1),772 (1),-,-,588 (1),904 (1),904 (1),-,-,210 (1),210 (1),-
IPU,OBC,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MD RADIODIAGNOSIS,41000,339 (2),339 (2),2010 (2),-,-,5347 (3),5347 (3),5347 (3),-,-,8629 (3),8629 (3),-
All India Quota,Open,Maharashtra,"Lokmanya Tilak Municipal Medical College, Mumbai",MS ENT,143300,371 (1),371 (1),371 (1),-,-,1355 (1),6483 (1),6483 (1),-,-,3109 (1),6211 (1),-
All India Quota,Open,Rajasthan,"SMS Medical College, Jaipur",MD DERMATOLOGY,11647,374 (3),374 (3),502 (3),-,-,516 (3),1095 (3),1095 (3),-,-,629 (3),866 (3),57 (1)
All India Quota,OBC,West Bengal,"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",MD RADIODIAGNOSIS,12000,421 (1),1295 (1),1295 (1),-,-,336 (2),990 (2),990 (2),-,-,287 (2),287 (2),-
All India Quota,Open,Kerala,"Government Medical College, Kottayam",MD GENERAL MEDICINE,69470,372 (2),784 (2),784 (2),-,-,443 (3),810 (3),858 (3),-,-,301 (3),546 (3),1280 (1)
All India Quota,Open,Maharashtra,"Tata Memorial Centre, Mumbai",MD RADIODIAGNOSIS,105500,377 (8),410 (8),439 (8),-,-,440 (8),657 (8),657 (8),-,-,423 (8),622 (8),918 (1)
All India Quota,Open,West Bengal,"Nilratan Sircar Medical College, Kolkata",MD RADIODIAGNOSIS,12000,399 (2),508 (2),508 (2),-,-,893 (2),1215 (2),1215 (2),-,-,702 (3),702 (3),-
All India Quota,OBC,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MD GENERAL MEDICINE,57600,407 (2),407 (2),987 (2),-,-,456 (2),689 (2),830 (2),-,-,519 (2),519 (2),-
All India Quota,Open,Meghalaya,"North Eastern Indira Gandhi Regional Instt. of Health & Medical Sciences, Shillong",MD RADIODIAGNOSIS,16300,447 (1),447 (1),469 (1),-,-,508 (1),524 (1),732 (1),-,-,579 (1),597 (1),-
All India Quota,OBC,Maharashtra,"Government Medical College, Nagpur",MD RADIODIAGNOSIS,143300,345 (2),584 (2),623 (2),-,-,843 (1),905 (1),905 (1),-,-,764 (2),766 (2),2576 (1)
DNB Quota,Open,Maharashtra,"Kokilaben Dhirubhai Ambani Hospital & Medical Research Institute, Mumbai",DNB RADIODIAGNOSIS,125000,363 (2),602 (2),602 (2),-,-,530 (2),546 (2),546 (2),-,-,612 (2),580 (2),-
All India Quota,EWS,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MD RADIODIAGNOSIS,57600,485 (1),732 (1),519 (1),-,-,145 (1),582 (1),586 (1),-,-,-,-,-
All India Quota,Open,Madhya Pradesh,"MGM Medical College, Indore",MD RADIODIAGNOSIS,101500,508 (1),641 (1),746 (1),1281 (1),-,825 (3),1641 (3),1812 (3),-,-,766 (3),1554 (3),2247 (2)
All India Quota,EWS,Chandigarh,"Government Medical College, Chandigarh",MD GENERAL MEDICINE,34500,519 (1),519 (1),1102 (1),-,-,757 (1),1214 (1),1214 (1),-,-,727 (1),727 (1),-
All India Quota,OBC,Kerala,"Government Medical College, Thiruvananthapuram",MD RADIODIAGNOSIS,69470,467 (2),630 (2),630 (2),-,-,481 (1),820 (1),1134 (1),-,-,161 (1),206 (1),-
All India Quota,OBC,Telangana,"Osmania Medical College, Hyderabad",MD RADIODIAGNOSIS,25000,526 (2),526 (2),883 (2),-,-,410 (1),410 (1),410 (1),-,-,383 (2),514 (2),-
All India Quota,Open,Haryana,"Pt. BD Sharma Postgraduate Institute of Medical Sciences, Rohtak",MD GENERAL MEDICINE,125000,487 (5),649 (5),791 (5),3667 (1),-,195 (2),370 (2),563 (2),-,-,452 (2),452 (2),-
All India Quota,Open,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",MD RADIODIAGNOSIS,39000,493 (3),704 (3),754 (3),-,-,589 (1),797 (1),797 (1),-,-,1136 (4),1302 (4),-
All India Quota,Open,Meghalaya,"North Eastern Indira Gandhi Regional Instt. of Health & Medical Sciences, Shillong",MD DERMATOLOGY,16300,451 (1),451 (1),451 (1),-,-,2223 (1),2223 (1),2223 (1),-,-,873 (1),873 (1),-
All India Quota,Open,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MS GENERAL SURGERY,41000,479 (3),823 (3),823 (3),-,-,428 (4),332 (4),587 (4),-,-,384 (2),427 (2),-
All India Quota,EWS,Telangana,"Nizams Institute of Medical Sciences, Hyderabad",MD RADIODIAGNOSIS,72000,483 (1),483 (1),483 (1),-,-,-,-,-,-,-,200 (1),200 (1),-
All India Quota,EWS,Haryana,"Pt. BD Sharma Postgraduate Institute of Medical Sciences, Rohtak",MD RADIODIAGNOSIS,125000,505 (1),505 (1),505 (1),-,-,464 (1),464 (1),464 (1),-,-,236 (1),236 (1),-
All India Quota,Open,Rajasthan,"SMS Medical College, Jaipur",MD GENERAL MEDICINE,11647,455 (12),473 (12),510 (12),-,-,466 (13),478 (13),478 (13),787 (1),2515 (1),516 (10),516 (10),-
All India Quota,Open,Telangana,"Gandhi Medical College, Secunderabad",MD RADIODIAGNOSIS,25000,464 (2),464 (2),946 (2),3407 (1),-,550 (3),645 (3),645 (3),-,-,378 (1),635 (1),-
All India Quota,Open,Maharashtra,"Government Medical College, Aurangabad",MD RADIODIAGNOSIS,143300,471 (4),530 (4),639 (4),-,-,517 (3),854 (3),852 (3),2265 (1),-,404 (1),657 (1),-
All India Quota,Open,Haryana,"ESIC Medical College, Faridabad",MD GENERAL MEDICINE,250000,491 (1),1085 (1),1045 (1),-,-,415 (1),415 (1),415 (1),-,-,-,-,-
All India Quota,Open,Gujarat,"Pandit Deendayal Upadhyay Medical College, Rajkot",MD GENERAL MEDICINE,30000,516 (1),1503 (1),1503 (1),-,-,1153 (3),1438 (3),2559 (3),-,-,1288 (1),1910 (1),-
All India Quota,OBC,Kerala,"Government Medical College, Thrissur",MD RADIODIAGNOSIS,69470,494 (1),600 (1),600 (1),-,-,505 (1),851 (1),686 (1),-,-,259 (1),744 (1),-
All India Quota,OBC,Tamil Nadu,"Madurai Medical College, Madurai",MD RADIODIAGNOSIS,50000,511 (1),636 (1),540 (1),-,-,360 (1),360 (1),360 (1),-,-,387 (1),387 (1),-
All India Quota,OBC,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MD DERMATOLOGY,41000,517 (1),517 (1),517 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,OBC,Tamil Nadu,"Kilpauk Medical College, Chennai",MD RADIODIAGNOSIS,50000,468 (1),598 (1),598 (1),-,-,-,-,-,-,-,444 (1),444 (1),-
All India Quota,Open,Maharashtra,"Grant Medical College, Mumbai",MD GENERAL MEDICINE,143300,482 (4),482 (4),522 (4),-,-,283 (4),580 (4),792 (4),-,-,554 (5),933 (5),1414 (1)
All India Quota,Open,Tamil Nadu,"Thanjavur Medical College, Thanjavur",MD RADIODIAGNOSIS,50000,498 (1),822 (1),822 (1),-,-,-,-,-,-,-,-,-,-
DU,Open,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MD DERMATOLOGY,57600,509 (2),509 (2),509 (2),-,-,-,-,-,-,-,468 (1),468 (1),-
All India Quota,Open,Maharashtra,"HBT Medical College & Dr. RN Cooper Municipal General Hospital, Juhu, Mumbai",MD GENERAL MEDICINE,143300,524 (2),524 (2),524 (2),-,-,846 (2),846 (2),846 (2),-,-,770 (1),1178 (1),-
All India Quota,OBC,Delhi,"Maulana Azad Medical College, New Delhi",MD DERMATOLOGY,57600,466 (1),466 (1),466 (1),-,-,-,-,-,-,-,631 (1),631 (1),-
All India Quota,EWS,Maharashtra,"BJ Government. Medical College, Pune",MD RADIODIAGNOSIS,143300,512 (1),512 (1),512 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,OBC,Maharashtra,"BJ Government. Medical College, Pune",MD RADIODIAGNOSIS,143300,533 (1),576 (1),588 (1),-,-,820 (2),865 (2),865 (2),-,-,750 (2),733 (2),-
All India Quota,Open,Maharashtra,"Indira Gandhi Medical College & Hospital, Nagpur",MD RADIODIAGNOSIS,143300,525 (1),525 (1),525 (1),-,-,317 (1),732 (1),893 (1),-,-,458 (2),872 (2),949 (1)
All India Quota,Open,West Bengal,"Nilratan Sircar Medical College, Kolkata",MD GENERAL MEDICINE,12000,480 (2),566 (2),757 (2),-,-,701 (3),802 (3),955 (3),-,-,574 (1),1247 (1),1885 (1)
All India Quota,OBC,Tamil Nadu,"Madras Medical College, Chennai",MD GENERAL MEDICINE,50000,515 (5),760 (5),1798 (5),-,-,591 (4),591 (4),591 (4),-,-,483 (4),521 (4),-
All India Quota,Open,Rajasthan,"Government Medical College, Kota",MD RADIODIAGNOSIS,12812,449 (1),449 (1),449 (1),-,-,611 (1),627 (1),627 (1),-,-,864 (2),1008 (2),2309 (1)
All India Quota,OBC,Rajasthan,"SMS Medical College, Jaipur",MD RADIODIAGNOSIS,11647,450 (3),450 (3),450 (3),-,-,946 (3),1175 (3),1175 (3),-,-,882 (3),972 (3),-
All India Quota,Open,Jharkhand,"Rajendra Institute of Medical Sciences, Ranchi",MD RADIODIAGNOSIS,1500,504 (1),504 (1),629 (1),-,-,1160 (1),1160 (1),1160 (1),-,-,1491 (2),2014 (2),3236 (1)
DNB Quota,Open,Kerala,"Kerala Institute of Medical Sciences, Trivandrum",DNB DERMATOLOGY,125000,506 (1),3081 (1),3081 (1),-,-,2321 (1),4048 (1),3304 (1),-,-,-,-,-
All India Quota,Open,Maharashtra,"Government Medical College, Nagpur",MD GENERAL MEDICINE,143300,522 (6),537 (6),861 (6),-,-,515 (7),831 (7),983 (7),-,-,589 (5),777 (5),1725 (2)
All India Quota,Open,Uttar Pradesh,"King George Medical University, Lucknow",MD GENERAL MEDICINE,54700,476 (6),727 (6),1166 (6),-,-,255 (2),502 (4),554 (4),-,-,523 (3),523 (3),-
All India Quota,Open,Maharashtra,"Lokmanya Tilak Municipal Medical College, Mumbai",MD DERMATOLOGY,143300,481 (1),750 (1),750 (1),-,-,20 (1),140 (1),140 (1),-,-,467 (1),811 (1),-
All India Quota,EWS,Gujarat,"BJ Medical College, Ahmedabad",MD RADIODIAGNOSIS,30000,488 (2),488 (2),488 (2),-,-,577 (1),716 (1),716 (1),-,-,475 (1),475 (1),-
All India Quota,OBC,Chandigarh,"Government Medical College, Chandigarh",MD GENERAL MEDICINE,34500,529 (1),529 (1),529 (1),-,-,971 (2),971 (2),971 (2),-,-,966 (1),966 (1),-
All India Quota,OBC,Bihar,"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",MD RADIODIAGNOSIS,160000,597 (1),597 (1),597 (1),-,-,867 (1),1712 (1),1712 (1),-,-,666 (1),666 (1),-
All India Quota,EWS,Maharashtra,"Lokmanya Tilak Municipal Medical College, Mumbai",MD GENERAL MEDICINE,143300,554 (1),554 (1),554 (1),-,-,570 (1),665 (1),665 (1),-,-,511 (2),1028 (2),-
All India Quota,EWS,Maharashtra,"Topiwala National Medical College, Mumbai",MD GENERAL MEDICINE,143300,562 (1),562 (1),562 (1),-,-,1027 (1),757 (1),757 (1),-,-,800 (1),1127 (1),-
All India Quota,EWS,Gujarat,"Medical College, Baroda",MD GENERAL MEDICINE,30000,616 (1),1084 (1),1594 (1),-,-,739 (1),1232 (1),1232 (1),-,-,934 (1),934 (1),-
All India Quota,Open,Kerala,"Government Medical College, Thrissur",MD GENERAL MEDICINE,69470,563 (3),1341 (3),1434 (3),-,-,545 (2),982 (2),982 (2),-,-,592 (2),797 (2),-
All India Quota,Open,Gujarat,"MP Shah Medical College, Jamnagar",MD RADIODIAGNOSIS,30000,648 (3),931 (3),1224 (3),1313 (1),-,687 (1),678 (1),1164 (1),3166 (1),-,526 (2),818 (2),-
All India Quota,Open,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",MD RADIODIAGNOSIS,15375,656 (2),656 (2),732 (2),-,-,-,740 (1),1120 (1),-,-,903 (2),963 (2),-
All India Quota,Open,West Bengal,"Burdwan Medical College, Burdwan",MD RADIODIAGNOSIS,12000,561 (1),955 (1),955 (1),-,-,-,-,-,-,-,833 (1),1107 (1),-
All India Quota,Open,West Bengal,"RG Kar Medical College, Kolkata",MD GENERAL MEDICINE,12000,566 (2),700 (2),1368 (2),-,-,747 (2),978 (2),978 (2),-,-,736 (3),1285 (3),-
All India Quota,OBC,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MS GENERAL SURGERY,41000,588 (2),588 (2),658 (2),-,-,274 (2),274 (2),920 (2),-,-,897 (2),897 (2),-
All India Quota,Open,Karnataka,"Mysore Medical College & Research Institute, Mysore",MD GENERAL MEDICINE,124150,593 (5),1048 (5),1048 (5),-,-,656 (5),1178 (5),1552 (5),-,-,693 (5),1113 (5),1881 (3)
All India Quota,Open,Karnataka,"Belagavi Institute of Medical Sciences, Belagavi",MD RADIODIAGNOSIS,124150,594 (1),594 (1),594 (1),-,-,1262 (2),1262 (2),1262 (2),-,-,-,-,-
All India Quota,OBC,Tamil Nadu,"Thanjavur Medical College, Thanjavur",MD RADIODIAGNOSIS,50000,598 (1),1152 (1),1152 (1),-,-,565 (1),565 (1),890 (1),-,-,-,-,-
IPU,Open,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MD DERMATOLOGY,41000,631 (1),631 (1),631 (1),-,-,1292 (1),1292 (1),1292 (1),-,-,2130 (1),2130 (1),-
All India Quota,Open,Uttar Pradesh,"Dr. Ram Manohar Lohia Institute of Medical Sciences, Lucknow",MD GENERAL MEDICINE,37500,641 (1),829 (1),1305 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,Delhi,"Maulana Azad Medical College, New Delhi",MS OBG,57600,650 (4),869 (4),1556 (4),-,-,765 (4),857 (4),1432 (4),-,-,1050 (6),1106 (6),2920 (1)
All India Quota,EWS,Kerala,"Government Medical College, Kozhikode",MD GENERAL MEDICINE,69470,642 (1),1165 (1),4033 (1),-,-,1121 (1),1121 (1),1121 (1),-,-,1750 (2),1750 (2),-
All India Quota,Open,Rajasthan,"Sardar Patel Medical College, Bikaner",MD RADIODIAGNOSIS,12812,606 (2),606 (2),606 (2),-,-,627 (1),643 (1),643 (1),-,-,740 (1),740 (1),-
DNB Quota,Open,Maharashtra,"Lilavati Hospital & Research Centre, Mumbai",DNB RADIODIAGNOSIS,125000,632 (2),956 (2),1266 (2),-,-,994 (2),1202 (2),1202 (2),-,-,949 (2),1733 (2),3222 (1)
All India Quota,Open,West Bengal,"Government Medical College, Kolkata",MD DERMATOLOGY,12000,573 (1),573 (1),573 (1),-,-,1106 (2),1249 (2),1106 (2),-,-,-,-,-
All India Quota,Open,Gujarat,"Medical College, Baroda",MD GENERAL MEDICINE,30000,589 (5),888 (5),1507 (5),-,-,287 (4),287 (4),287 (4),-,568 (5),682 (6),-,-
All India Quota,Open,Delhi,"Lady Hardinge Medical College, New Delhi",MS OBG,57600,603 (5),603 (5),1132 (5),-,-,862 (3),1238 (3),1238 (3),-,1039 (2),1470 (2),-,-
All India Quota,Open,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MS ORTHOPAEDICS,41000,607 (3),607 (3),607 (3),-,-,518 (4),871 (4),1245 (4),-,608 (3),608 (3),-,4673 (1)
All India Quota,Open,Madhya Pradesh,"Gajra Raja Medical College, Gwalior",MD RADIODIAGNOSIS,101500,621 (2),621 (2),641 (2),-,-,732 (2),811 (2),825 (2),-,749 (2),1301 (2),2224 (1),-
All India Quota,EWS,Gujarat,"BJ Medical College, Ahmedabad",MD GENERAL MEDICINE,30000,552 (2),552 (2),1084 (2),-,-,378 (1),378 (1),378 (1),-,712 (2),712 (2),-,-
All India Quota,Open,Maharashtra,"Government Medical College, Miraj",MD RADIODIAGNOSIS,143300,623 (1),623 (1),906 (1),-,-,854 (1),1257 (1),1532 (1),-,1115 (1),1137 (1),3187 (1),-
All India Quota,Open,Gujarat,"Pandit Deendayal Upadhyay Medical College, Rajkot",MD RADIODIAGNOSIS,30000,567 (2),930 (2),956 (2),-,-,1013 (3),1196 (3),1196 (3),-,-,-,-,-
All India Quota,Open,Delhi,"Lady Hardinge Medical College, New Delhi",MD PAEDIATRICS,57600,550 (5),580 (5),825 (5),-,-,483 (4),483 (4),483 (4),-,459 (4),459 (4),-,-
DNB Quota,Open,Delhi,"Max Super Specialty Hospital, Saket",DNB RADIODIAGNOSIS,125000,602 (2),691 (2),948 (2),-,-,1418 (2),1598 (2),1598 (2),-,908 (2),1391 (2),2474 (1),-
All India Quota,EWS,Gujarat,"Medical College, Baroda",MD RADIODIAGNOSIS,30000,569 (1),569 (1),569 (1),-,-,1474 (1),1474 (1),1474 (1),-,-,-,-,-
All India Quota,Open,Delhi,"ESI PGIMSR & ESI Hospital, Basaidarapur, New Delhi",MD DERMATOLOGY,250000,579 (2),697 (2),697 (2),-,-,347 (1),347 (1),347 (1),-,866 (1),1364 (1),-,-
All India Quota,OBC,Maharashtra,"Topiwala National Medical College, Mumbai",MD RADIODIAGNOSIS,143300,576 (1),731 (1),731 (1),-,-,816 (1),936 (1),936 (1),-,669 (1),669 (1),-,-
All India Quota,Open,Odisha,"SCB Medical College, Cuttack",MD GENERAL MEDICINE,38500,659 (5),1139 (5),1139 (5),-,-,549 (4),549 (4),549 (4),-,343 (4),343 (4),-,-
All India Quota,EWS,Maharashtra,"Government Medical College, Nagpur",MD GENERAL MEDICINE,143300,585 (1),1373 (1),1373 (1),-,-,1009 (1),1027 (1),1027 (1),-,1028 (1),2214 (1),-,-
All India Quota,Open,Meghalaya,"North Eastern Indira Gandhi Regional Instt. of Health & Medical Sciences, Shillong",MD GENERAL MEDICINE,16300,618 (1),618 (1),618 (1),-,-,1464 (1),2461 (1),2097 (1),-,1386 (1),1386 (1),-,-
All India Quota,Open,Odisha,"SCB Medical College, Cuttack",MD RADIODIAGNOSIS,38500,629 (2),887 (2),908 (2),-,-,654 (2),1239 (2),1239 (2),-,266 (1),266 (1),-,-
All India Quota,Open,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MD PAEDIATRICS,41000,651 (3),786 (3),786 (3),-,-,726 (5),914 (5),1052 (5),-,644 (2),838 (2),-,-
All India Quota,OBC,Tamil Nadu,"Coimbatore Medical College, Coimbatore",MD RADIODIAGNOSIS,50000,540 (1),540 (1),636 (1),4121 (1),-,-,-,-,-,462 (1),462 (1),-,-
All India Quota,Open,Telangana,"Kakatiya Medical College, Warangal",MD RADIODIAGNOSIS,25000,548 (1),548 (1),1847 (1),-,-,896 (1),1174 (1),1132 (1),-,-,-,-,-
All India Quota,Open,Uttar Pradesh,"Moti Lal Nehru Medical College, Allahabad",MD RADIODIAGNOSIS,40000,565 (1),565 (1),565 (1),-,-,602 (1),856 (1),856 (1),-,-,-,-,-
All India Quota,OBC,Kerala,"Government Medical College, Kottayam",MD RADIODIAGNOSIS,69470,630 (1),793 (1),813 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,EWS,Tamil Nadu,"Madras Medical College, Chennai",MD GENERAL MEDICINE,50000,720 (1),720 (1),720 (1),-,-,1775 (2),1775 (2),2555 (2),6929 (1),2027 (2),2027 (2),-,-
All India Quota,Open,Maharashtra,"BJ Government. Medical College, Pune",MD GENERAL MEDICINE,143300,727 (5),1124 (5),1819 (5),-,-,569 (3),1217 (3),1258 (3),-,763 (5),1180 (5),2490 (1),-
All India Quota,EWS,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MS GENERAL SURGERY,41000,683 (1),683 (1),683 (1),-,-,1987 (2),1987 (2),1987 (2),-,757 (2),757 (2),-,-
All India Quota,OBC,Uttar Pradesh,"Jawaharlal Nehru Medical College, Aligarh",MD RADIODIAGNOSIS,38000,689 (2),819 (2),819 (2),-,-,759 (2),1140 (2),1536 (2),-,760 (2),760 (2),-,-
All India Quota,Open,Kerala,"Government Medical College, Kozhikode",MD DERMATOLOGY,69470,696 (2),924 (2),924 (2),-,-,177 (1),177 (1),177 (1),-,307 (1),307 (1),-,-
All India Quota,Open,West Bengal,"ESIC Medical College, Joka, Kolkata",MD GENERAL MEDICINE,250000,700 (1),749 (1),1424 (1),-,-,-,-,-,-,2013 (2),2013 (2),-,-
All India Quota,OBC,Karnataka,"Bangalore Medical College & Research Institute, Bangalore",MD RADIODIAGNOSIS,124150,731 (2),790 (2),790 (2),-,-,672 (2),672 (2),843 (2),-,488 (2),397 (2),-,-
All India Quota,OBC,Maharashtra,"Seth GS Medical College & KEM Hospital, Mumbai",MD GENERAL MEDICINE,143300,736 (3),978 (3),1299 (3),-,-,1190 (4),1190 (4),1283 (4),-,812 (3),812 (3),-,-
All India Quota,Open,Bihar,"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",MD GENERAL MEDICINE,160000,710 (2),710 (2),710 (2),2506 (1),-,809 (2),1276 (2),1276 (2),-,670 (1),1440 (1),-,-
All India Quota,Open,Tamil Nadu,"Stanley Medical College, Chennai",MD GENERAL MEDICINE,50000,734 (7),1106 (7),1106 (7),-,-,750 (6),953 (6),953 (6),-,489 (5),739 (5),1439 (1),-
DNB Quota,Open,Maharashtra,"Sir HN Reliance Hospital & Research Centre, Mumbai",DNB RADIODIAGNOSIS,125000,712 (2),728 (2),737 (2),-,-,998 (2),1242 (2),1242 (2),-,1396 (2),1940 (2),-,-
All India Quota,Open,Maharashtra,"Grant Medical College, Mumbai",MD DERMATOLOGY,143300,724 (3),1115 (3),1115 (3),1192 (1),6631 (1),140 (1),503 (1),723 (3),4240 (1),-,-,-,-
All India Quota,Open,Karnataka,"ESIC Medical College, Bangalore",MD GENERAL MEDICINE,250000,743 (1),743 (1),743 (1),-,-,1520 (2),1854 (2),1854 (2),-,1414 (2),2103 (2),-,-
All India Quota,Open,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MS GENERAL SURGERY,57600,663 (1),663 (1),663 (1),-,-,808 (1),808 (1),1623 (1),-,559 (1),559 (1),-,-
All India Quota,Open,Kerala,"Government TD Medical College, Alappuzha",MD GENERAL MEDICINE,69470,674 (5),1364 (5),1364 (5),-,-,858 (5),1240 (5),1478 (5),2815 (1),585 (5),724 (5),1376 (2),-
All India Quota,OBC,Maharashtra,"Seth GS Medical College & KEM Hospital, Mumbai",MD DERMATOLOGY,143300,702 (1),702 (1),702 (1),-,-,841 (1),841 (1),841 (1),-,921 (1),921 (1),-,-
All India Quota,OBC,Rajasthan,"Dr. SN Medical College, Jodhpur",MD RADIODIAGNOSIS,12812,721 (1),721 (1),721 (1),-,-,1175 (1),2156 (1),1207 (1),-,1056 (1),1056 (1),-,-
DU,OBC,Delhi,"Maulana Azad Medical College, New Delhi",MD DERMATOLOGY,57600,730 (1),730 (1),730 (1),-,-,-,-,-,-,1587 (1),1587 (1),-,-
All India Quota,EWS,Telangana,"Osmania Medical College, Hyderabad",MD RADIODIAGNOSIS,25000,740 (1),485 (1),485 (1),-,-,901 (2),847 (2),901 (2),-,639 (1),639 (1),-,-
All India Quota,Open,Gujarat,"Government Medical College, Surat",MD RADIODIAGNOSIS,30000,694 (3),1077 (3),1077 (3),-,-,579 (4),1120 (4),1013 (4),-,580 (2),949 (2),2051 (2),3684 (1)
All India Quota,OBC,Maharashtra,"Government Medical College, Nagpur",MD DERMATOLOGY,143300,695 (1),695 (1),695 (1),-,-,2334 (1),2873 (1),3383 (1),-,2220 (1),2220 (1),4321 (1),-
All India Quota,Open,Telangana,"Gandhi Medical College, Secunderabad",MD GENERAL MEDICINE,25000,701 (4),701 (4),735 (4),4285 (1),-,437 (5),437 (5),437 (5),-,358 (4),366 (4),-,-
DNB Quota,Open,Delhi,"St. Stephen's Hospital, New Delhi",DNB RADIODIAGNOSIS,125000,722 (1),805 (1),1408 (1),-,-,731 (1),1309 (1),1309 (1),-,1251 (1),688 (1),-,-
DNB Quota,Open,Maharashtra,"Jaslok Hospital & Research Centre, Mumbai",DNB RADIODIAGNOSIS,125000,728 (2),817 (2),1276 (2),-,-,710 (2),994 (2),1607 (2),-,782 (2),1130 (2),2671 (1),-
All India Quota,Open,Telangana,"Osmania Medical College, Hyderabad",MD GENERAL MEDICINE,25000,735 (6),886 (6),886 (6),-,-,633 (5),923 (5),1001 (5),-,407 (4),841 (4),1744 (1),-
All India Quota,EWS,Uttar Pradesh,"Dr. Ram Manohar Lohia Institute of Medical Sciences, Lucknow",MD RADIODIAGNOSIS,37500,686 (1),686 (1),686 (1),-,-,718 (1),718 (1),718 (1),-,-,-,-,-
All India Quota,Open,Jammu & Kashmir,"Government Medical College, Jammu",MD RADIODIAGNOSIS,25000,671 (2),671 (2),671 (2),-,-,797 (3),1021 (3),1021 (3),-,785 (3),1115 (3),-,-
All India Quota,Open,Jammu & Kashmir,"Government Medical College, Srinagar",MD RADIODIAGNOSIS,35750,711 (3),1040 (3),1040 (3),-,-,1246 (3),2024 (3),2024 (3),-,1061 (3),1493 (3),3386 (1),-
All India Quota,Open,Maharashtra,"Grant Medical College, Mumbai",MS GENERAL SURGERY,143300,661 (6),874 (6),874 (6),-,-,461 (5),461 (5),461 (5),-,628 (5),780 (7),-,-
DNB Quota,Open,Delhi,"Indraprastha Apollo Hospital, New Delhi",DNB RADIODIAGNOSIS,125000,672 (1),751 (1),751 (1),-,-,1506 (1),1693 (1),1693 (1),-,1359 (1),1558 (1),-,-
All India Quota,Open,Karnataka,"Karnataka Institute of Medical Sciences, Hubballi",MD GENERAL MEDICINE,124150,690 (5),1052 (5),1351 (5),-,-,1184 (5),1468 (5),1521 (5),-,1124 (4),1439 (4),3039 (2),-
All India Quota,Open,Rajasthan,"RNT Medical College, Udaipur",MD DERMATOLOGY,12812,697 (1),1208 (1),1328 (1),-,-,1119 (2),1304 (2),1304 (2),-,1035 (1),1035 (1),-,-
All India Quota,Open,Kerala,"Government Medical College, Kottayam",MD DERMATOLOGY,69470,726 (1),1091 (1),1091 (1),-,-,-,-,-,-,341 (2),403 (2),-,-
All India Quota,Open,Odisha,"MKCG Medical College, Berhampur",MD DERMATOLOGY,40000,714 (1),945 (1),945 (1),-,-,1761 (1),1976 (1),1976 (1),-,1067 (1),3226 (1),-,-
All India Quota,EWS,Karnataka,"Mysore Medical College & Research Institute, Mysore",MD RADIODIAGNOSIS,124150,732 (1),1075 (1),1075 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,OBC,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",MD RADIODIAGNOSIS,188000,790 (1),1068 (1),244 (1),-,-,-,-,-,-,619 (1),619 (1),-,-
