State,Institute,Institute Type,University,Year of Establishment,Total PG Seats,Total Hospital Beds
Delhi,"Madhukar Rainbow Childrens Hospital, New Delhi",Private,NBEMS,2017,5,130
West Bengal,"Jagannath Gupta Institute of Medical Sciences & Hospital, Kolkata",Private,"West Bengal University of Health Sciences, Kolkata",2018,47,450
Maharashtra,"Joint Accr. Masina Hospital, Mumbai & Jagjivan Ram Railway Hospital, Mumbai",Private,NBEMS,0,1,272
Kerala,"Jubilee Mission Medical College & Research Institute, Thrissur",Private,"Kerala University of Health Sciences, Thrissur",2002,54,1750
Tamil Nadu,"Lotus Eye Hospital, Coimbatore",Private,NBEMS,1993,3,300
Telangana,"LV Prasad Eye Institute, Banjara Hills, Hyderabad",Private,NBEMS,1987,0,0
Tamil Nadu,"Madras Medical Mission Hospital, Chennai",Private,NBEMS,1984,3,250
Haryana,"Maharishi Markandeshwar Institute of Medical Sciences & Research, Mullana, Ambala",Deemed,"Maharishi Marakandeshwar University (Deemed), Mullana, Ambala",2003,147,940
Kerala,"Mother Hospital, Thrissur",Private,NBEMS,1991,4,300
West Bengal,"Malda Medical College & Hospital, Malda",Govt,"West Bengal University of Health Sciences, Kolkata",2011,14,500
Punjab,"Ivy Health & Life Sciences, Mohali",Private,NBEMS,2007,4,180
Madhya Pradesh,"Medanta Super Speciality Hospital, Indore",Private,NBEMS,0,0,175
Andhra Pradesh,"Krishna Institute of Medical Sciences, Rajahmundry",Private,NBEMS,2002,0,1000
Jharkhand,"Manipal Tata Medical College, Baridih, Jameshedpur",Private,"Manipal Academy of Higher Education (Deemed), Manipal",2020,0,983
Telangana,"Mediciti Institute of Medical Sciences, Ghanpur",Private,"Kaloji Narayana Rao University of Health Sciences, Warangal",2002,90,850
Delhi,"Moolchand Khairatiram Hospital & Ayurvedic Research Institute, Delhi",Private,NBEMS,1957,4,140
Maharashtra,"PD Hinduja National Hospital & Medical Research Centre, Mumbai",Private,NBEMS,1951,22,366
Rajasthan,"RK Government District Hospital, Rajsamand",Govt,NBEMS,1992,2,300
Telangana,"Oasis Centre for Reproductive Medicine, Hyderabad",Private,NBEMS,2009,0,0
Karnataka,"Karnataka Institute of Medical Sciences, Hubballi",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",1957,181,2404
Karnataka,"Kempegowda Institute of Medical Sciences, Bangalore",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",1980,187,1100
Maharashtra,"Manik Hospital & Research Center, Shivneri Nagar, Aurangabad",Private,NBEMS,1998,0,100
Rajasthan,"JLN Government Hospital, Nagaur",Govt,NBEMS,1964,11,350
Tamil Nadu,"Madras Medical College, Chennai",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",1835,482,4000
Kerala,"MGM Muthoot Hospital, Pathanamthitta",Private,NBEMS,2003,8,300
Uttar Pradesh,"Midland Healthcare & Research Centre, Lucknow",Private,NBEMS,1990,5,100
Karnataka,"MM Joshi Eye Hospital, Hubli",Private,NBEMS,1967,3,75
Maharashtra,"Institute of Urology, Dhule",Private,NBEMS,2003,0,115
Maharashtra,"Laddhad Hospital, Buldana",Private,NBEMS,1995,2,110
West Bengal,"Mal SSH, Jalpaiguri",Govt,NBEMS,2016,2,200
Telangana,"Lions Club Sadhu Ram Eye Hospital, Hyderabad",Private,NBEMS,1974,2,50
West Bengal,"Kalyani Institute of Medical Sciences, Burdwan",Private,NBEMS,2011,2,300
Bihar,"Katihar Medical College, Katihar",Private,"Al-Karim University, Katihar",1987,81,500
Andhra Pradesh,"Mahatma Gandhi Cancer Hospital & Research Institute, Visakhapatnam",Private,NBEMS,2005,2,250
Odisha,"MKCG Medical College, Berhampur",Govt,"Berhampur University, Berhampur",1962,158,1431
Chhattisgarh,"MMI Narayana Multispecialty Hospital, Lalpur",Private,NBEMS,2000,7,265
Maharashtra,"Jupiter Hospital, Thane (West)",Private,NBEMS,2007,16,350
Tamil Nadu,"Kauvery Hospital Heart City, Trichy",Private,NBEMS,2012,0,100
Tamil Nadu,"Kauvery Hospital Medical Services, Hosur",Private,NBEMS,2013,7,125
Tamil Nadu,"Kaveri Medical Centre & Hospital, Trichy",Private,NBEMS,2008,4,200
Madhya Pradesh,"LN Medical College & Research Centre, Bhopal",Private,"LNCT University, Bhopal",2009,158,750
Kerala,"Malabar Eye Hospital, Kozhikode",Private,NBEMS,1999,1,15
Delhi,"Mohan Eye Institute, Delhi",Private,NBEMS,1980,1,25
Rajasthan,"Jhalawar Medical College, Jhalawar",Govt,"Rajasthan University, Jaipur",2008,106,500
Gujarat,"Kasturba Hospital, Valsad",Private,NBEMS,1944,0,255
Chhattisgarh,"Mark Hospital, Bilaspur",Private,NBEMS,2005,2,100
Meghalaya,"Nazareth Hospital, Shillong",Private,NBEMS,1959,11,366
West Bengal,"Peerless Hospital & BK Roy Research Centre, Kolkata",Private,NBEMS,1994,13,300
Karnataka,"Prabha Eye Clinic & Research Centre, Bangalore",Private,NBEMS,1940,2,0
Odisha,"Pt. Raghunath Murmu Medical College & Hospital, Baripada",Govt,"North Odisha University, Baripada",2017,12,563
Haryana,"Pushpanjali Hospital, Rewari",Private,NBEMS,0,2,0
Telangana,"Osmania Medical College, Hyderabad",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",1846,489,6000
Maharashtra,"Laxmi Charitable Trust Eye Hospital, Panvel",Private,NBEMS,2000,1,130
Delhi,"Jag Pravesh Chandra Hospital, Shahdara, Delhi",Govt,NBEMS,2008,4,200
Tamil Nadu,"Karpagam Faculty of Medical Sciences & Research, Coimbatore",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2012,20,650
Rajasthan,"Mahavir Jaipuriya Rajasthan Hospital, Jaipur",Private,NBEMS,0,10,0
Karnataka,"Manipal Hospital, Malleshwaram, Bangalore",Private,NBEMS,1993,2,83
Maharashtra,"Max Super Speciality Hospital, Nagpur",Private,NBEMS,2000,8,200
Uttar Pradesh,"Mayo Institute of Medical Sciences, Barabanki",Private,"Dr. Ram Manohar Lohia Avadh University, Faizabad",2012,78,500
Karnataka,"JSS Medical College, Mysore",Deemed,"JSS Academy of Higher Education & Research, Mysuru",1984,166,1800
Maharashtra,"Manik Hospital, Aurangabad",Private,NBEMS,2001,4,100
Punjab,"Mata Kaushalya Government Hospital, Patiala",Govt,NBEMS,2011,7,300
Telangana,"Medicover Hospitals, Hyderabad",Private,NBEMS,2011,10,400
Karnataka,"Kidwai Memorial Institute of Oncology, Bangalore",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",1963,35,863
Maharashtra,"Joint Accr. Dr. Babasaheb Ambedkar Central Railway Hospital, Mumbai & Jagjivan Ram Railway Hospital, Mumbai",Public Sector,NBEMS,2020,0,366
Haryana,"Joint Accr. Narula Diagnostic Centre (Sarvodaya Multispecialty & Cancer Hospital, Hisar), Rohtak",Private,NBEMS,0,1,150
Andhra Pradesh,"Kamineni Health Care, Vijayawada",Private,NBEMS,1995,4,0
West Bengal,"Kharagpur Sub Divisional Hospital, Kharagpur",Govt,NBEMS,1969,6,250
Delhi,"Metro Hospital & Cancer Institute, Delhi",Private,NBEMS,2006,1,155
West Bengal,"Murshidabad Medical College & Hospitals, Murshidabad",Govt,"West Bengal University of Health Sciences, Kolkata",2012,38,1208
Karnataka,"Mysore Medical College & Research Institute, Mysore",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",1924,153,1000
Kerala,"Polakulath Narayanan Renai Medicity Multi Super Specialty Hospital, Cochin",Private,NBEMS,1962,14,205
Madhya Pradesh,"Retina Speciality Hospital, Indore",Private,NBEMS,2012,1,28
Karnataka,"Santosh Hospital, Bangalore",Private,NBEMS,1984,4,200
Delhi,"Northern Railway Central Hospital, Delhi",Public Sector,NBEMS,1936,25,413
Bihar,"Ruban Memorial Hospital, Patna",Private,NBEMS,2004,10,100
Nagaland,"Nagaland Institute of Medical Sciences & Research, Kohima",Govt,"Nagaland University, Lumami",2023,0,300
Uttar Pradesh,"Prasad Institute of Medical Sciences, Lucknow",Private,"Dr. Ram Manohar Lohia Avadh University, Faizabad",2016,46,500
Bihar,"Sadar Hospital, Gopalganj",Govt,NBEMS,0,4,100
Andhra Pradesh,"Santhiram Medical College, Nandyal",Private,"Dr. NTR University of Health Sciences, Vijayawada",2005,81,850
West Bengal,"MR Bangur Hospital, Kolkata",Govt,NBEMS,1932,12,700
Telangana,"Paramitha Childrens Hospital, Kompally",Private,NBEMS,2004,2,30
Chhattisgarh,"Rajmata Shrimati Devendra Kumari Singhdeo Government Medical College, Surguja",Govt,"Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",2016,40,0
Maharashtra,"Sarakshi Netralaya, Nagpur",Private,NBEMS,2006,1,30
Uttar Pradesh,"Netrodaya The Eye City, Varanasi",Private,NBEMS,2014,4,20
Uttar Pradesh,"Naraina Medical College & Research Centre, Kanpur",Private,"Atal Bihari Vajpayee Medical University, Lucknow",2021,0,300
Telangana,"Ozone Institute of Medical Sciences, Hyderabad",Private,NBEMS,2011,2,0
Maharashtra,"National Institute of Ophthalmology, Pune",Private,NBEMS,1993,3,225
Gujarat,"Pandit Deendayal Upadhyay Medical College, Rajkot",Govt,"Saurashtra University, Rajkot",1995,151,0
Karnataka,"Shimoga Institute of Medical Sciences, Shimoga",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2007,91,950
Kerala,"SK Hospital, Thiruvananthapuram",Private,NBEMS,2003,2,300
Maharashtra,"Smt. Kashibai Navale Medical College & General Hospital, Pune",Private,"Maharashtra University of Health Sciences, Nashik",2007,86,1094
Madhya Pradesh,"Shalby Hospital, Indore",Private,NBEMS,1994,2,190
West Bengal,"Shri Ramkrishna Institute of Medical Sciences & Sanaka Hospitals, Durgapur",Private,"West Bengal University of Health Sciences, Kolkata",2019,33,650
Punjab,"Shaheed Bhai Mani Singh District Hospital, Bathinda",Govt,NBEMS,0,3,200
Karnataka,"Shanti Hospital, Bagalkot",Private,NBEMS,1986,5,120
Tamil Nadu,"SKS Hospital, Salem",Private,NBEMS,1987,15,225
Tamil Nadu,"Sri Muthukumaran Medical College, Chennai",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2010,32,300
Delhi,"Sir Ganga Ram Hospital, New Delhi",Private,NBEMS,1954,82,575
Bihar,"Sadar Hospital, Begusarai",Govt,NBEMS,1930,5,100
Uttar Pradesh,"Saraswati Institute of Medical Sciences, Hapur",Private,"Chaudhary Charan Singh University, Meerut",2008,85,0
Delhi,"National Institute of Health & Family Welfare, New Delhi",Govt,"Delhi University, Delhi",1977,16,470
Karnataka,"National Institute of Mental Health & Neuro Sciences (NIMHANS), Bangalore",Govt,"NIMHANS (Deemed), Bangalore",1974,0,925
Andhra Pradesh,"Omni RK Super Specialty Hospital, Visakhapatnam",Private,NBEMS,2010,2,0
Maharashtra,"Prince Aly Khan Hospital, Mumbai",Private,NBEMS,1945,1,201
Tamil Nadu,"Sankara Eye Hospital, Chennai",Private,NBEMS,1997,2,140
Uttar Pradesh,"Noida International Institute of Medical Sciences, Greater Noida",Private,"Noida International University, Greater Noida",2020,68,800
Madhya Pradesh,"Sadguru Nethra Chikitsalaya, Satna",Private,NBEMS,1968,4,350
Bihar,"Narayan Medical College & Hospital, Sasaram",Private,"Gopal Narayan Singh University, Jamuhar",2008,119,500
Kerala,"PRS Hospital, Trivandrum",Private,NBEMS,1986,12,300
West Bengal,"Purba Medinipur District Hospital, Tamluk",Govt,NBEMS,1882,5,500
Maharashtra,"Sahyadri Super Speciality Hospital, Nagar Road, Pune",Private,NBEMS,2013,8,130
Uttarakhand,"Sai Hospital, Haldwani",Private,NBEMS,0,2,100
Kerala,"MVR Cancer Centre & Research Institute, Calicut",Private,NBEMS,2011,2,300
Maharashtra,"Prakash Institute of Medical Science & Research, Sangli",Private,"Maharashtra University of Health Sciences, Nashik",2016,0,350
Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Private,"Barkatullah University, Bhopal",2014,88,810
Telangana,"Saijyothi Eye Institute, Secunderabad",Private,NBEMS,2005,2,50
Delhi,"Shri Balaji Action Medical Institute, New Delhi",Private,NBEMS,2004,21,275
Andhra Pradesh,"Star Pinnacle Heart Center, Visakhapatnam",Private,NBEMS,2015,0,0
Kerala,"SP Fort Hospital, Thiruvananthapuram",Private,NBEMS,1998,3,500
Assam,"Sri Sankaradeva Nethralaya, Guwahati",Private,NBEMS,1993,4,50
Telangana,"Soorya Hospitals, Hyderabad",Private,NBEMS,1990,1,0
Maharashtra,"Shri Ganapati Nethralaya, Jalna",Private,NBEMS,1992,2,95
Kerala,"Rajagiri Hospital, Ernakulam",Private,NBEMS,2014,19,570
Jharkhand,"Rani Hospital, Ranchi",Private,NBEMS,2004,8,225
Maharashtra,"Nandadeep Eye Hospital, Sangli",Private,NBEMS,1980,1,30
Telangana,"Pushpagiri Eye Institute, Secunderabad",Private,NBEMS,2007,2,0
Telangana,"Neelima Institute of Medical Sciences, Medchal",Private,"Anurag University, Venkatapur",2023,0,300
Rajasthan,"Porwal Hospital, Bhilwara",Private,NBEMS,2009,3,0
Karnataka,"Rangadore Memorial Hospital, Bangalore",Private,NBEMS,2007,14,210
West Bengal,"Park Clinic, Kolkata",Govt,NBEMS,1995,0,100
Telangana,"Prathima Institute of Medical Sciences, Karimnagar",Private,"Dr. NTR University of Health Sciences, Vijayawada",2001,137,750
Andhra Pradesh,"Q1 Hospital, Visakhapatnam",Private,NBEMS,2017,1,0
Maharashtra,"Rainbow Institiute of Medical Sciences (RIMS), Amravati",Private,NBEMS,2021,2,137
Karnataka,"S Nijalingappa Medical College & HSK Hospital & Research Centre, Bagalkot",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",2002,102,1140
Bihar,"Sadar Hospital, Motihari",Govt,NBEMS,1922,8,300
Uttar Pradesh,"School of Medical Sciences & Research, Greater Noida",Private,"Sharda University, Greater Noida",2009,109,0
Karnataka,"New Amrutha Medical & Research Centre, Raichur",Private,NBEMS,2006,4,350
Maharashtra,"Paediatric Surgery Centre & PG Institute, Sangli",Private,NBEMS,0,2,100
West Bengal,"Sambhu Nath Pandit Hospital, Kolkata",Govt,NBEMS,1990,0,407
Andhra Pradesh,"Seven Hills Hospital, Vishakhapatnam",Private,NBEMS,1988,6,0
Kerala,"NIMS Medicity, Trivandrum",Private,NBEMS,2006,3,228
Maharashtra,"Niramay Hospital & Research Center, Satara",Private,NBEMS,1995,2,120
Tamil Nadu,"Royal Care Super Speciality Hospital, Coimbatore",Private,NBEMS,2015,6,150
Telangana,"Sai Sanjeevini Hospitals, Hyderabad",Private,NBEMS,2017,1,0
Karnataka,"Sapthagiri Institute of Medical Sciences & Research Centre, Bangalore",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",2011,190,1070
West Bengal,"Naihati State General Hospital, North 24 Parganas",Govt,NBEMS,1920,2,300
Uttar Pradesh,"Rama Medical College & Hospital, Kanpur",Private,"Dr BR Ambedkar University, Agra",2008,54,0
Chhattisgarh,"Shri Balaji Institute of Medical Science, Raipur",Private,"Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",2021,68,1500
Karnataka,"Sigma Hospital, Mysore",Private,NBEMS,2014,1,100
Assam,"Silchar Medical College, Silchar",Govt,"Srimanta Shankardeva University of Health Sciences, Guwahati",1968,111,500
Ladakh,"SNM Hospital, Ladakh",Govt,NBEMS,1976,5,280
Jammu & Kashmir,"Sher-I-Kashmir Institute of Medical Sciences, Bemina, Srinagar",Govt,NBEMS,1989,6,0
Andhra Pradesh,"Sri Sankara Netra Chikitsalaya, Eluru",Private,NBEMS,1991,3,0
Karnataka,"Shri Atal Bihari Vajpayee Medical College & Research Institute, Bangalore",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2019,27,956
Kerala,"St. James Hospital, Chalakudy",Private,NBEMS,1989,6,450
Gujarat,"Sterling Hospital, Vadodara",Private,NBEMS,2001,0,220
Telangana,"SLG Hospitals, Hyderabad",Private,NBEMS,2006,2,200
Chhattisgarh,"Shri Shishu Bhawan Hospital, Bilaspur",Private,NBEMS,0,2,100
Telangana,"Star Women & Children Hospital, Karimnagar",Private,NBEMS,2014,5,0
Kerala,"Saraswathy Hospital, Thiruvananthapuram",Private,NBEMS,1992,2,150
Uttar Pradesh,"Saraswati Medical College, Unnao",Private,"CSJM University, Kanpur",2016,0,0
Uttar Pradesh,"Muzaffarnagar Medical College, Muzaffarnagar",Private,"Chaudhary Charan Singh University, Meerut",2006,97,450
West Bengal,"Neotia Getwel, Siliguri",Private,NBEMS,2012,13,250
Punjab,"Netaji Subhas National Institute of Sports Medicine, Patiala",Govt,"Baba Farid University of Health Sciences, Faridkot",1977,6,50
Andhra Pradesh,"PES Institute of Medical Sciences & Research, Kuppam",Private,"Dr. NTR University of Health Sciences, Vijayawada",2001,114,750
Maharashtra,"Sainath Hospital, Pune",Private,NBEMS,1999,2,100
West Bengal,"Narayana Multispeciality Hospital, Kolkata",Private,NBEMS,2007,4,200
Odisha,"Saheed Rendo Majhi Medical College & Hospital, Bhawanipatna",Govt,"The Kalahandi university, Bhawanipatna",2023,0,340
Uttar Pradesh,"Sanjay Gandhi Postgraduate Institute of Medical Sciences, Lucknow",Govt,"Sanjay Gandhi Postgraduate Institute of Medical Sciences, Lucknow",1983,45,1609
Rajasthan,"Santokba Durlabhji Memorial Hospital (SDMH), Jaipur",Private,NBEMS,1971,22,525
Kerala,"PK Das Institute of Medical Sciences, Palakkad",Private,"Kerala University of Health Sciences, Thrissur",2014,17,900
Andhra Pradesh,"Queen's NRI Hospital, Visakhapatnam",Private,NBEMS,1995,3,0
Karnataka,"Raichur Institute of Medical Sciences, Raichur",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2007,39,870
Haryana,"OP Jindal Institute of Cancer & Cardiac Research, Hisar",Private,NBEMS,0,5,0
Odisha,"PG Institute of Medical Education & Research & Capital Hospital, Bhubaneswar",Govt,"Utkal University, Bhubaneswar",1954,30,647
Uttar Pradesh,"Rama Medical College Hospital & Research Centre, Hapur",Private,"Chaudhary Charan Singh University, Meerut",2011,45,0
Jharkhand,"NH Brahamananda Narayana Multispeciality Hospital, Jamshedpur",Private,NBEMS,2008,3,200
Maharashtra,"PD Hinduja Hospital, Khar, Mumbai",Private,NBEMS,1951,6,110
Maharashtra,"Poona Hospital & Research Centre, Pune",Private,NBEMS,1996,10,300
Delhi,"Rajiv Gandhi Super Speciality Hospital, Delhi",Govt,NBEMS,2016,3,650
Tamil Nadu,"Saveetha Medical College & Hospital, Kanchipuram",Deemed,"Saveetha University (Deemed), Chennai",2008,136,720
Gujarat,"Shalby Hospital, Ahmedabad",Private,NBEMS,1994,6,0
Telangana,"South Central Railways Hospital, Secunderabad",Public Sector,NBEMS,1965,9,300
Punjab,"SKR Hospital & Trauma Centre, Pathankot",Private,NBEMS,2010,1,100
Gujarat,"SGVP Holistic Hospital, Ahmedabad",Private,NBEMS,2010,2,200
Karnataka,"Sri Siddhartha Institute of Medical Sciences & Research Centre, Bangalore",Deemed,"Sri Siddhartha Academy of Higher Education, Tumkur",2019,19,970
Andhra Pradesh,"St. Joseph General Hospital, Guntur",Private,NBEMS,1967,6,200
Andhra Pradesh,"MyCure Hospital, Visakhapatnam",Private,NBEMS,0,0,650
West Bengal,"Nabadwip State General Hospital, Pratapnagar, Nadia",Govt,NBEMS,1920,2,250
Haryana,"Paras Hospital, Gurgaon",Private,NBEMS,2006,7,300
Delhi,"Rajiv Gandhi Cancer Institute & Research Centre, New Delhi",Private,NBEMS,1996,10,498
Maharashtra,"Sanjeevan Medical Foundation ENT Postgraduate Training Institute, Miraj",Private,"Maharashtra University of Health Sciences, Nashik",1978,3,0
Karnataka,"MS Ramaiah Medical College, Bangalore",Private,"MS Ramaiah University of Applied Sciences, Bangalore.",1979,168,1320
Telangana,"Muslim Maternity & Childrens Hospital, Hyderabad",Private,NBEMS,1970,3,0
Tamil Nadu,"Nandha Medical College & Hospital, Erode",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2023,0,0
Rajasthan,"Pacific Medical College & Hospital, Bhilo Ka Bedla, Udaipur",Private,"Rajasthan University of Health Sciences, Jaipur",2014,137,300
Gujarat,"SBKS Medical Institute & Research Centre, Vadodara",Deemed,"Sumandeep Vidyapeeth University (Deemed), Vadodra",2002,169,1200
Kerala,"Palakkad Institute of Medical Sciences, Walayar",Private,"Kerala University of Health Sciences, Thrissur",2014,2,330
Punjab,"Punjab Institute of Medical Sciences, Jalandhar",Private,"Baba Farid University of Health Sciences, Faridkot",2011,13,2011
Bihar,"Savera Cancer & Multispeciality Hospital, Patna",Private,NBEMS,2010,0,100
Maharashtra,"Noble Hospital, Pune",Private,NBEMS,2007,17,330
